,ano,mes,descrição da despesa,Valor Anual Previsto na LOA,valor mensal empenhado,Valor Acumulado
4,2016,mar,SEGURANCA PUBLICA,"193.416.089,00","16.287.333,26","39.369.984,58"
5,2016,mar,ASSISTENCIA SOCIAL,"116.810.270,00","9.624.203,77","16.858.347,33"
6,2016,mar,PREVIDENCIA SOCIAL,"652.265.207,00","47.242.976,07","140.065.897,37"
7,2016,mar,SAUDE,"2.195.496.303,00","156.552.889,81","405.971.490,58"
8,2016,mar,TRABALHO,"17.827.334,00","301.354,08","645.925,12"
9,2016,mar,EDUCACAO,"1.436.488.813,00","105.269.457,21","268.166.490,57"
10,2016,mar,CULTURA,"88.398.641,00","3.042.634,18","12.039.974,74"
11,2016,mar,DIREITOS DA CIDADANIA,"58.297.353,00","5.963.581,48","12.333.833,66"
12,2016,mar,URBANISMO,"850.974.051,00","128.579.418,61","208.888.108,01"
13,2016,mar,HABITACAO,"132.108.148,00","2.085.573,98","5.536.766,84"
14,2016,mar,GESTAO AMBIENTAL,"121.621.983,00","9.059.684,57","25.317.750,00"
15,2016,mar,CIENCIA E TECNOLOGIA,"11.238.857,00","252.130,87","608.537,15"
16,2016,mar,AGRICULTURA,"105.000,00","0,00","0,00"
17,2016,mar,COMERCIO E SERVICOS,"206.959.021,00","1.253.819,08","2.944.163,68"
18,2016,mar,COMUNICACOES,"110.000,00","0,00","0,00"
19,2016,mar,DESPORTO E LAZER,"34.981.094,00","9.714.004,65","12.025.034,33"
20,2016,mar,ENCARGOS ESPECIAIS,"227.184.997,00","6.694.526,88","32.168.175,60"
21,2016,mar,RESERVA DE CONTINGENCIA,"110.000,00","0,00","0,00"
22,2016,mar,TOTAIS,"7.272.573.519,00","562.778.017,59","1.380.334.013,24"
0,2016,fev,LEGISLATIVA,"159.550.140,00","9.245.628,64","49.420.020,33"
1,2016,fev,JUDICIARIA,"44.437.473,00","3.516.167,77","6.721.305,34"
2,2016,fev,ESSENCIAL A JUSTICA,"110.000,00","0,00","0,00"
3,2016,fev,ADMINISTRACAO,"724.082.745,00","48.049.015,40","80.397.778,92"
4,2016,fev,SEGURANCA PUBLICA,"193.416.089,00","13.079.924,00","23.082.651,32"
5,2016,fev,ASSISTENCIA SOCIAL,"116.810.270,00","4.757.798,15","7.234.143,56"
6,2016,fev,PREVIDENCIA SOCIAL,"652.265.207,00","46.839.888,79","92.822.921,30"
7,2016,fev,SAUDE,"2.195.496.303,00","124.104.416,84","249.418.600,77"
8,2016,fev,TRABALHO,"17.827.334,00","344.571,04","344.571,04"
9,2016,fev,EDUCACAO,"1.436.488.813,00","92.533.696,31","162.897.033,36"
10,2016,fev,CULTURA,"88.398.641,00","2.319.533,92","8.997.340,56"
11,2016,fev,DIREITOS DA CIDADANIA,"58.297.353,00","2.768.284,94","6.370.252,18"
12,2016,fev,URBANISMO,"850.974.051,00","65.174.273,52","80.308.689,40"
13,2016,fev,HABITACAO,"132.108.148,00","2.037.013,39","3.451.192,86"
14,2016,fev,GESTAO AMBIENTAL,"121.621.983,00","8.542.164,98","16.258.065,43"
15,2016,fev,CIENCIA E TECNOLOGIA,"11.238.857,00","192.277,37","356.406,28"
16,2016,fev,AGRICULTURA,"105.000,00","0,00","0,00"
17,2016,fev,COMERCIO E SERVICOS,"206.959.021,00","312.882,77","1.690.344,60"
18,2016,fev,COMUNICACOES,"110.000,00","0,00","0,00"
19,2016,fev,DESPORTO E LAZER,"34.981.094,00","758.316,15","2.311.029,68"
20,2016,fev,ENCARGOS ESPECIAIS,"227.184.997,00","11.463.604,60","25.473.648,72"
21,2016,fev,RESERVA DE CONTINGENCIA,"110.000,00","0,00","0,00"
22,2016,fev,TOTAIS,"7.272.573.519,00","436.039.458,58","817.555.995,65"
0,2016,jan,LEGISLATIVA,"159.550.140,00","40.174.391,69","40.174.391,69"
1,2016,jan,JUDICIARIA,"44.437.473,00","3.205.137,57","3.205.137,57"
2,2016,jan,ESSENCIAL A JUSTICA,"110.000,00","0,00","0,00"
3,2016,jan,ADMINISTRACAO,"724.082.745,00","32.348.763,52","32.348.763,52"
4,2016,jan,SEGURANCA PUBLICA,"193.416.089,00","10.002.727,32","10.002.727,32"
5,2016,jan,ASSISTENCIA SOCIAL,"116.810.270,00","2.476.345,41","2.476.345,41"
6,2016,jan,PREVIDENCIA SOCIAL,"652.265.207,00","45.983.032,51","45.983.032,51"
7,2016,jan,SAUDE,"2.195.496.303,00","125.314.183,93","125.314.183,93"
8,2016,jan,TRABALHO,"17.827.334,00","0,00","0,00"
9,2016,jan,EDUCACAO,"1.436.488.813,00","70.363.337,05","70.363.337,05"
10,2016,jan,CULTURA,"88.398.641,00","6.677.806,64","6.677.806,64"
11,2016,jan,DIREITOS DA CIDADANIA,"58.297.353,00","3.601.967,24","3.601.967,24"
12,2016,jan,URBANISMO,"850.974.051,00","15.134.415,88","15.134.415,88"
13,2016,jan,HABITACAO,"132.108.148,00","1.414.179,47","1.414.179,47"
14,2016,jan,GESTAO AMBIENTAL,"121.621.983,00","7.715.900,45","7.715.900,45"
15,2016,jan,CIENCIA E TECNOLOGIA,"11.238.857,00","164.128,91","164.128,91"
16,2016,jan,AGRICULTURA,"105.000,00","0,00","0,00"
17,2016,jan,COMERCIO E SERVICOS,"206.959.021,00","1.377.461,83","1.377.461,83"
18,2016,jan,COMUNICACOES,"110.000,00","0,00","0,00"
19,2016,jan,DESPORTO E LAZER,"34.981.094,00","1.552.713,53","1.552.713,53"
20,2016,jan,ENCARGOS ESPECIAIS,"227.184.997,00","14.010.044,12","14.010.044,12"
21,2016,jan,RESERVA DE CONTINGENCIA,"110.000,00","0,00","0,00"
22,2016,jan,TOTAIS,"7.272.573.519,00","381.516.537,07","381.516.537,07"
